일자,도로명,위치,지점,시간,mean
2021-08-07,한누리대로,라온프라이빗시티앞,한누리대로고가2남측 ~ 노드_146,점유율,4.4942
2021-08-07,한누리대로,반곡동(공주),4-1생활권(한누리대로) ~ 반곡동(한누리대로),점유율,2.3993
2021-08-07,한누리대로,세종 교육청(공주),교육청앞 ~ 여울초교앞,점유율,2.3806
2021-08-07,한누리대로,양지초교북측(세종),한누리대로고가2북측 ~ 양지초교사거리,점유율,5.1004
2021-08-08,갈매로,기쁨뜰공원(청사),금사교고가차도동편 ~ 갈매로교차로1,점유율,3.1647
2021-08-08,갈매로,제3주차장(서측),노드_069 ~ 노드_070,점유율,1.9576
2021-08-08,당산로,연서면 봉암리,월암교남측 ~ 연서치안센터,점유율,3.0348
2021-08-08,산학리길,장군면 산학리,- ~ 송악교,점유율,1.8445
2021-08-08,새내로,서울외과 앞,마음그린한의원 ~ 새내4길시점,점유율,4.7054
2021-08-08,새내로,조치원여중 앞,조치원여자중학교 ~ 조치원읍사무소,점유율,4.8502
2021-08-08,시목부강로,시목교교차로 앞,- ~ 시목교(북측),점유율,2.0586
2021-08-08,시청대로,세종 시청(공주),시청입구 ~ 교육청후문,점유율,2.6487
2021-08-08,연청로,문곡리 세종방면,문곡교차로 ~ 부강터널,점유율,2.6398
2021-08-08,용연로,연서면 와촌리,세종-공주경계 ~ 와룡로입구,점유율,1.461
2021-08-08,일반국도1호선,산동교차로 대전방면,세종로교차로1 ~ 두만2리교차로2,점유율,2.3847
2021-08-08,일반국도36호선,다름고개(세종),다정동 ~ 올망초등학교,점유율,5.5032
2021-08-08,정안세종로,은하수공원(세종),수산IC교 북서 ~ 모개고가차도,점유율,2.2058
2021-08-08,조치원로,공영버스터미널 앞,조치원로1 ~ 상리사거리,점유율,7.4658
2021-08-08,지방도604호선,연동면 송용리 세종방면,예양교차로남측 ~ 문주1교북측,점유율,3.6116
2021-08-08,지방도96호선,갈매로(대전),장남교차로 ~ 금남교앞,점유율,4.3363
2021-08-08,지방도96호선,부강교차로 세종방면,부강교차로2 ~ 부강교차로1,점유율,1.9891
2021-08-08,지방도96호선,세종이마트(공주),e마트남측교차로 ~ -,점유율,2.0196
2021-08-08,지방도96호선,장군면 금암리,송암교 ~ -,점유율,1.774
2021-08-08,청연로,우리한식뷔페 앞,연동중학교입구 ~ 응암삼거리,점유율,3.8002
2021-08-08,충현로,153자동차정비소 앞,조치원교 ~ 조치원지하차도앞,점유율,3.6268
2021-08-08,평기길,장군면 평기리,송학사거리 ~ 송문리,점유율,2.636
2021-08-08,한누리대로,국세청맞은편,한누리대로지하4남측 ~ 한누리대로지하5북측,점유율,3.5566
2021-08-08,한누리대로,라온프라이빗시티앞,한누리대로고가2남측 ~ 노드_146,점유율,5.4746
2021-08-08,한누리대로,반곡동(공주),4-1생활권(한누리대로) ~ 반곡동(한누리대로),점유율,3.707
2021-08-08,한누리대로,세종 교육청(공주),교육청앞 ~ 여울초교앞,점유율,2.8714
2021-08-08,한누리대로,양지초교북측(세종),한누리대로고가2북측 ~ 양지초교사거리,점유율,4.4136
2021-08-09,갈매로,기쁨뜰공원(청사),금사교고가차도동편 ~ 갈매로교차로1,점유율,2.3465
2021-08-09,갈매로,제3주차장(서측),노드_069 ~ 노드_070,점유율,3.9162
2021-08-09,당산로,연서면 봉암리,월암교남측 ~ 연서치안센터,점유율,4.7552
2021-08-09,산학리길,장군면 산학리,- ~ 송악교,점유율,4.1086
2021-08-09,새내로,서울외과 앞,마음그린한의원 ~ 새내4길시점,점유율,4.79
2021-08-09,새내로,조치원여중 앞,조치원여자중학교 ~ 조치원읍사무소,점유율,4.8443
2021-08-09,시목부강로,시목교교차로 앞,- ~ 시목교(북측),점유율,4.2803
2021-08-09,시청대로,세종 시청(공주),시청입구 ~ 교육청후문,점유율,1.7636
2021-08-09,연청로,문곡리 세종방면,문곡교차로 ~ 부강터널,점유율,2.524
2021-08-09,용연로,연서면 와촌리,세종-공주경계 ~ 와룡로입구,점유율,4.4876
2021-08-09,일반국도1호선,산동교차로 대전방면,세종로교차로1 ~ 두만2리교차로2,점유율,3.3484
2021-08-09,일반국도36호선,다름고개(세종),다정동 ~ 올망초등학교,점유율,7.2433
2021-08-09,정안세종로,은하수공원(세종),수산IC교 북서 ~ 모개고가차도,점유율,3.569
2021-08-09,조치원로,공영버스터미널 앞,조치원로1 ~ 상리사거리,점유율,5.7582
2021-08-09,지방도604호선,연동면 송용리 세종방면,예양교차로남측 ~ 문주1교북측,점유율,2.8004
2021-08-09,지방도96호선,갈매로(대전),장남교차로 ~ 금남교앞,점유율,3.4882
2021-08-09,지방도96호선,부강교차로 세종방면,부강교차로2 ~ 부강교차로1,점유율,2.184
2021-08-09,지방도96호선,세종이마트(공주),e마트남측교차로 ~ -,점유율,3.2852
2021-08-09,지방도96호선,장군면 금암리,송암교 ~ -,점유율,2.7888
2021-08-09,청연로,우리한식뷔페 앞,연동중학교입구 ~ 응암삼거리,점유율,3.8718
2021-08-09,충현로,153자동차정비소 앞,조치원교 ~ 조치원지하차도앞,점유율,3.4034
2021-08-09,평기길,장군면 평기리,송학사거리 ~ 송문리,점유율,3.8504
2021-08-09,한누리대로,국세청맞은편,한누리대로지하4남측 ~ 한누리대로지하5북측,점유율,9.4042
2021-08-09,한누리대로,라온프라이빗시티앞,한누리대로고가2남측 ~ 노드_146,점유율,6.0489
2021-08-09,한누리대로,반곡동(공주),4-1생활권(한누리대로) ~ 반곡동(한누리대로),점유율,2.9261
2021-08-09,한누리대로,세종 교육청(공주),교육청앞 ~ 여울초교앞,점유율,3.8835
2021-08-09,한누리대로,양지초교북측(세종),한누리대로고가2북측 ~ 양지초교사거리,점유율,3.4068
2021-08-10,갈매로,기쁨뜰공원(청사),금사교고가차도동편 ~ 갈매로교차로1,점유율,4.0486
2021-08-10,갈매로,제3주차장(서측),노드_069 ~ 노드_070,점유율,4.1736
2021-08-10,당산로,연서면 봉암리,월암교남측 ~ 연서치안센터,점유율,3.0167
2021-08-10,산학리길,장군면 산학리,- ~ 송악교,점유율,3.7554
2021-08-10,새내로,서울외과 앞,마음그린한의원 ~ 새내4길시점,점유율,5.5646
2021-08-10,새내로,조치원여중 앞,조치원여자중학교 ~ 조치원읍사무소,점유율,3.0626
2021-08-10,시목부강로,시목교교차로 앞,- ~ 시목교(북측),점유율,2.7846
2021-08-10,시청대로,세종 시청(공주),시청입구 ~ 교육청후문,점유율,3.7798
2021-08-10,연청로,문곡리 세종방면,문곡교차로 ~ 부강터널,점유율,2.1989
2021-08-10,용연로,연서면 와촌리,세종-공주경계 ~ 와룡로입구,점유율,4.7183
2021-08-10,일반국도1호선,산동교차로 대전방면,세종로교차로1 ~ 두만2리교차로2,점유율,4.8193
2021-08-10,일반국도36호선,다름고개(세종),다정동 ~ 올망초등학교,점유율,5.3394
