index,운영기관,충전소,충전기ID,충전기타입,지역,시군구,주소,이용가능시간,이용자 제한,충전용량,비고,GCS,POLYGON
98907,차지인,썸모텔,1,AC완속,대전광역시 ,중구 ,대전광역시 중구 인창로6번길 25주차장,24시간 이용가능,,,,"('36.3209276937564', '127.431262379803')","(994083.0827244809, 1813645.8679096028)"
99486,차지인,현대프리미어아울렛 대전점 (급속),1,DC차데모+AC3상+DC콤보,대전광역시 ,유성구 ,대전광역시 유성구 테크노중앙로 123(현대프리미엄아울렛 대전점),24시간 이용가능,,100kW,,"('36.4234369155218', '127.398516767788')","(991129.6406728723, 1825056.553306864)"
99622,매니지온,그린푸드앤케어,1,AC완속,대전광역시 ,유성구 ,대전광역시 유성구 학하남로91번길 6-11(학하동 751-5),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,7kW,,"('36.3374384566577', '127.308485211281')","(983009.3775720423, 1815483.7427650637)"
99624,매니지온,길산골프클럽,1,AC완속,대전광역시 ,유성구 ,대전광역시 유성구 계백로 933-59(원내동 1-10),24시간 이용가능,,7kW,,"('36.3043660806224', '127.329398842463')","(984895.6516095053, 1811802.332724293)"
99627,매니지온,길산골프클럽 유성점,1,AC완속,대전광역시 ,유성구 ,대전광역시 유성구 유성대로736번길 63(장대동 281-4),24시간 이용가능,,7kW,,"('36.3587318563361', '127.337098979066')","(985590.1540434811, 1817853.990832349)"
99651,매니지온,대전노은3지구 1단지,1,AC완속,대전광역시 ,유성구 ,대전광역시 유성구 지족로190번길 15B1 휀룸실 옆,24시간 이용가능,거주자외 출입제한,7kW,,"('36.3821012839769', '127.302840649669')","(982500.2746846038, 1820455.3293473711)"
99655,매니지온,대전한솔빌라,1,AC완속,대전광역시 ,중구 ,대전광역시 중구 산서로 81-55(343 상당한솔빌라),24시간 이용가능,거주자외 출입제한,7kW,,"('36.2937930825407', '127.389901469122')","(990352.5965499628, 1810625.412709309)"
99816,매니지온,시온마을,1,AC완속,대전광역시 ,중구 ,대전광역시 중구 모암로 59(옥계동 77),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,7kW,,"('36.2994888458852', '127.447488925934')","(995546.612057012, 1811259.4294592368)"
99838,매니지온,영무예다음 에코타운,1,AC완속,대전광역시 ,유성구 ,대전광역시 유성구 지족로 92(영무예다음 에코타운),24시간 이용가능,거주자외 출입제한,7kW,,"('36.3749950695558', '127.305536556023')","(982743.4279715074, 1819664.3100056164)"
100007,매니지온,행복한우리복지관,1,AC완속,대전광역시 ,서구 ,대전광역시 서구 계백로 1093-32(도안동 1575),24시간 이용가능,,7kW,,"('36.3053155372602', '127.345189226749')","(986319.8419694223, 1811908.0202985976)"
100213,타디스테크놀로지,대전광역시 도시철도공사 외삼차량기지,1,AC완속,대전광역시 ,유성구 ,대전광역시 유성구 북유성대로400번길 1(외삼동 421),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,7kW,,"('36.4045307180865', '127.308083776249')","(982973.1707329726, 1822952.0336619248)"
100215,타디스테크놀로지,대전광역시 도시철도공사 판암차량기지,1,AC완속,대전광역시 ,동구 ,대전광역시 동구 옥천로 270(110 도시철도공사판암기지),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,7kW,,"('36.3283797062807', '127.474841949044')","(998013.6775268742, 1814475.3793333245)"
100226,타디스테크놀로지,대청공업사,1,AC완속,대전광역시 ,대덕구 ,대전광역시 대덕구 신탄진로 600대청공업사,24시간 이용가능,,7kW,,"('36.4319325750167', '127.4233780404')","(993371.9663913575, 1826002.2369836017)"
100280,타디스테크놀로지,떡갈나무집,1,AC완속,대전광역시 ,유성구 ,대전광역시 유성구 엑스포로539번길 270떡갈나무집,24시간 이용가능,,7kW,,"('36.4107901302774', '127.3944802297')","(990765.571089242, 1823648.7922759508)"
100311,타디스테크놀로지,롯데케미칼 대전연구소,1,AC완속,대전광역시 ,유성구 ,대전광역시 유성구 가정북로 115(24-1 롯데케미칼주식회사),24시간 이용가능,,7kW,,"('36.3910962027139', '127.358546461379')","(987524.5779942486, 1821456.5874401967)"
100531,타디스테크놀로지,신대광주식회사,1,AC완속,대전광역시 ,유성구 ,대전광역시 유성구 진잠로 67신대광주식회사,24시간 이용가능,,7kW,,"('36.297851442745', '127.315967771856')","(983684.2560579226, 1811077.1639832186)"
100700,타디스테크놀로지,월드파크사우나,1,AC완속,대전광역시 ,중구 ,대전광역시 중구 오류로 64월드파크사우나,24시간 이용가능,,7kW,,"('36.3260188695863', '127.403660971423')","(991593.6145125024, 1814212.5857589496)"
100754,타디스테크놀로지,주식회사 3월,1,AC완속,대전광역시 ,서구 ,대전광역시 서구 둔산중로32번길 29주식회사 3월,24시간 이용가능,,7kW,,"('36.349661951622', '127.388460024101')","(990222.5875478969, 1816844.3857695712)"
100757,타디스테크놀로지,주식회사 굿모닝골프,1,AC완속,대전광역시 ,유성구 ,대전광역시 유성구 노은로367번길 108굿모닝골프연습장,24시간 이용가능,,7kW,,"('36.3922392311989', '127.32889565345')","(984850.2672205928, 1821583.8222217879)"
