운영기관,충전소,충전소별 충전기연번,충전기타입,지역,시군구,주소,이용가능시간,이용자 제한,비고
대구환경공단,대구사격장,01,DC차데모+AC3상+DC콤보,대구광역시 ,북구 ,대구광역시 북구 문주길 170대구사격장(40 대구사격장),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,
대구환경공단,대구시(대구 달성군)옥포읍 행정복지센터,01,DC차데모+AC3상+DC콤보,대구광역시 ,달성군 ,대구광역시 달성군 옥포읍 비슬로 2215,24시간 이용가능,,
대구환경공단,대구시_ 중구청,01,DC차데모+AC3상+DC콤보,대구광역시 ,중구 ,대구광역시 중구 국채보상로139길 1,24시간 이용가능,,
대구환경공단,대구시_(달성군)하빈면 사무소,01,DC차데모+AC3상+DC콤보,대구광역시 ,달성군 ,대구광역시 달성군 하빈면 하빈로84길 1,24시간 이용가능,,
대구환경공단,대구시_(대구 달서구)본리동 행정복지센터,01,DC차데모+AC3상+DC콤보,대구광역시 ,달서구 ,대구광역시 달서구 당산로 37-14,24시간 이용가능,,
대구환경공단,대구시_(대구 달서구)죽전동 행정복지센터,01,DC차데모+AC3상+DC콤보,대구광역시 ,달서구 ,대구광역시 달서구 와룡로54길 28,24시간 이용가능,,
대구환경공단,대구시_(대구 달성군)유가읍 행정복지센터,01,DC차데모+AC3상+DC콤보,대구광역시 ,달성군 ,대구광역시 달성군 유가읍 테크노상업로 95,24시간 이용가능,,
대구환경공단,대구시_(대구 달성군)유가읍 행정복지센터,02,DC차데모+AC3상+DC콤보,대구광역시 ,달성군 ,대구광역시 달성군 유가읍 테크노상업로 95,24시간 이용가능,,
대구환경공단,대구시_(대구 달성군)유가읍 행정복지센터,03,AC완속,대구광역시 ,달성군 ,대구광역시 달성군 유가읍 테크노상업로 95,24시간 이용가능,,
대구환경공단,대구시_(대구 달성군)유가읍 행정복지센터,04,AC완속,대구광역시 ,달성군 ,대구광역시 달성군 유가읍 테크노상업로 95,24시간 이용가능,,
대구환경공단,대구시_(대구 달성군)유가읍 행정복지센터,05,AC완속,대구광역시 ,달성군 ,대구광역시 달성군 유가읍 테크노상업로 95,24시간 이용가능,,
대구환경공단,대구시_(대구 동구)동촌동 행정복지센터,01,DC차데모+AC3상+DC콤보,대구광역시 ,동구 ,대구광역시 동구 동촌로11길 5,24시간 이용가능,,
대구환경공단,대구시_(대구 동구)방촌동 행정복지센터,01,DC차데모+AC3상+DC콤보,대구광역시 ,동구 ,대구광역시 동구 동촌로48길 26,24시간 이용가능,,
대구환경공단,대구시_(대구 동구)신암2동 행정복지센터,01,DC차데모+AC3상+DC콤보,대구광역시 ,동구 ,대구광역시 동구 신성로 56,24시간 이용가능,,
대구환경공단,대구시_(대구 동구)안심1동 행정복지센터,01,DC차데모+AC3상+DC콤보,대구광역시 ,동구 ,대구광역시 동구 율하동로25길 5,24시간 이용가능,,
대구환경공단,대구시_(대구 동구)안심34동 행정복지센터,01,DC차데모+AC3상+DC콤보,대구광역시 ,동구 ,대구광역시 동구 안심로49길 98,24시간 이용가능,,
대구환경공단,대구시_(대구 동구)효목1동 행정복지센터,01,DC차데모+AC3상+DC콤보,대구광역시 ,동구 ,대구광역시 동구 화랑로41길 46,24시간 이용가능,,
대구환경공단,대구시_(대구 북구)고성동 행정복지센터,01,DC차데모+AC3상+DC콤보,대구광역시 ,북구 ,대구광역시 북구 고성로31길 21,24시간 이용가능,,
대구환경공단,대구시_(대구 북구)동천동 행정복지센터,01,DC차데모+AC3상+DC콤보,대구광역시 ,북구 ,대구광역시 북구 대천로 81,24시간 이용가능,,
대구환경공단,대구시_(대구 북구)무태조야동 행정복지센터,01,DC차데모+AC3상+DC콤보,대구광역시 ,북구 ,대구광역시 북구 호국로43길 20,24시간 이용가능,,
대구환경공단,대구시_(대구 북구)산격3동 행정복지센터,01,DC차데모+AC3상+DC콤보,대구광역시 ,북구 ,대구광역시 북구 대학로15길 16,24시간 이용가능,,
대구환경공단,대구시_(대구 북구)태전1동 행정복지센터,01,DC차데모+AC3상+DC콤보,대구광역시 ,북구 ,대구광역시 북구 태전로7길 10-24,24시간 이용가능,,
