운영기관,충전소,충전소별 충전기연번,충전기타입,지역,시군구,주소,이용가능시간,이용자 제한,비고,GCS,POLYGON
대구환경공단,내당23동행정복지센터,1,AC완속,대구광역시 ,서구 ,"대구광역시 서구 큰장로15길 11-1내당23동행정복지센터(1008-1 내당2,3동주민센터)",24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,"('35.8672752789082', '128.57453241687')","(1097152.1108811817, 1763923.5147932696)"
대구환경공단,논공읍 논공공단출장소,1,DC차데모+AC3상+DC콤보,대구광역시 ,달성군 ,대구광역시 달성군 논공읍 논공중앙로 33길 3(논공읍 북리 1-130),24시간,,,"('35.7300377228472', '128.452781989995')","(1086206.6553270589, 1748581.1180688385)"
대구환경공단,논공읍행정복지센터,1,AC완속,대구광역시 ,달성군 ,"대구광역시 달성군 논공읍 비슬로 1779논공읍행정복지센터(1998 논공읍사무소,금포119지역대)",24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,"('35.7742727689388', '128.420332954017')","(1083289.4624252548, 1753526.3505965816)"
대구환경공단,농수산물도매시장,1,DC차데모+AC3상+DC콤보,대구광역시 ,북구 ,대구광역시 북구 매천로18길 34(북구 매천동 527-3),24시간,,,"('35.9008626491118', '128.543249395529')","(1094339.7435780407, 1767678.3962804107)"
대구환경공단,다사읍 사무소,1,DC차데모+AC3상+DC콤보,대구광역시 ,달성군 ,대구광역시 달성군 다사읍 매곡로 7 (입구 좌측)(다사읍 매곡리 885-1 (입구 좌측)),24시간 이용가능,, ,"('35.862023137413', '128.454203630907')","(1086334.4619213804, 1763336.3545378328)"
대구환경공단,다사읍행정복지센터(완속)-서재출장소,1,AC완속,대구광역시 ,달성군 ,대구광역시 달성군 다사읍 서재본길 25다사읍행정복지센터(서재)(다사읍사무소 서재출장소),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,"('35.8722266217585', '128.494261391651')","(1089935.6849402655, 1764477.0474304594)"
대구환경공단,다사체육공원 주차장,1,DC차데모+AC3상+DC콤보,대구광역시 ,달성군 ,대구광역시 달성군 다사읍 이천리30-1 (입구 진입후 주차장 11시방향 끝부분),24시간 이용가능,,,"('35.8902787501083', '128.477173275022')","(1088399.4503177917, 1766495.1751413601)"
대구환경공단,달서구청,1,DC차데모+AC3상+DC콤보,대구광역시 ,달서구 ,대구광역시 달서구 학산로 45(달서구 월성동 281),24시간,,,"('35.8299155224738', '128.532835550073')","(1093403.5309871556, 1759746.9014725692)"
대구환경공단,달성군 농업기술센터,1,DC차데모+AC3상+DC콤보,대구광역시 ,달성군 ,대구광역시 달성군 옥포면 비슬로 2040 (입구 우측)(옥포면 교항리 2521-7 (입구 우측)),24시간 이용가능,, ,"('35.7827040142468', '128.446719017204')","(1085661.5894828308, 1754468.917005581)"
대구환경공단,달성군청,1,DC차데모+AC3상+DC콤보,대구광역시 ,달성군 ,대구광역시 달성군 논공읍 달성군청로 33(논공읍 금포리 1313),24시간,,,"('35.7746631676172', '128.431389741374')","(1084283.475979817, 1753569.9950010478)"
대구환경공단,달성문화센터,1,DC차데모+AC3상+DC콤보,대구광역시 ,달성군 ,대구광역시 달성군 다사읍 대실역북로2길 188주차장 입구 좌측,24시간 이용가능,,,"('35.8654751138832', '128.460955489532')","(1086941.459123647, 1763722.2663393058)"
대구환경공단,대구 부광교회,1,DC차데모+AC3상+DC콤보,대구광역시 ,북구 ,대구광역시 북구 칠곡중앙대로52길38(입구좌측)(북구 태전동 608-12(입구좌측)),24시간 이용가능,,,"('35.9218493192294', '128.549592767296')","(1094910.0175025032, 1770024.5894662312)"
대구환경공단,대구과학관,1,DC차데모+AC3상+DC콤보,대구광역시 ,달성군 ,대구광역시 달성군 유가면 테크노대로6길20(유가면 상리 588),24시간,,,"('35.6866551363345', '128.465761685912')","(1087373.5398170126, 1743731.1857885383)"
대구환경공단,대구도시철도공사,1,DC차데모+AC3상+DC콤보,대구광역시 ,달서구 ,대구광역시 달서구 월배로 250(달서구 상인1동 1500),24시간,,,"('35.8191037837425', '128.540433721778')","(1094086.61237606, 1758538.2091170833)"
대구환경공단,대구사격장,1,DC차데모+AC3상+DC콤보,대구광역시 ,북구 ,대구광역시 북구 문주길 170대구사격장(40 대구사격장),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,"('35.911306181603', '128.524326610589')","(1092638.5708853677, 1768845.9252228036)"
대구환경공단,대구시(대구 달성군)옥포읍 행정복지센터,1,DC차데모+AC3상+DC콤보,대구광역시 ,달성군 ,대구광역시 달성군 옥포읍 비슬로 2215,24시간 이용가능,,,"('35.7892426906959', '128.464009760247')","(1087216.0403733328, 1755199.9047250815)"
대구환경공단,대구시_ 중구청,1,DC차데모+AC3상+DC콤보,대구광역시 ,중구 ,대구광역시 중구 국채보상로139길 1,24시간 이용가능,,,"('35.8693256621114', '128.60615767581')","(1099995.2456035833, 1764152.7362501614)"
대구환경공단,대구시_(달성군)하빈면 사무소,1,DC차데모+AC3상+DC콤보,대구광역시 ,달성군 ,대구광역시 달성군 하빈면 하빈로84길 1,24시간 이용가능,,,"('35.9009218891755', '128.445516802363')","(1085553.5094584187, 1767685.0189905881)"
대구환경공단,대구시_(대구 달서구)본리동 행정복지센터,1,DC차데모+AC3상+DC콤보,대구광역시 ,달서구 ,대구광역시 달서구 당산로 37-14,24시간 이용가능,,,"('35.8410144733795', '128.543166680428')","(1094332.3074278363, 1760987.7025543416)"
대구환경공단,대구시_(대구 달서구)죽전동 행정복지센터,1,DC차데모+AC3상+DC콤보,대구광역시 ,달서구 ,대구광역시 달서구 와룡로54길 28,24시간 이용가능,,,"('35.8298871998368', '128.532774031817')","(1093398.0004493662, 1759743.7351590204)"
대구환경공단,대구시_(대구 달성군)유가읍 행정복지센터,1,DC차데모+AC3상+DC콤보,대구광역시 ,달성군 ,대구광역시 달성군 유가읍 테크노상업로 95,24시간 이용가능,,,"('35.6938868535188', '128.459817158485')","(1086839.1223006835, 1744539.6516139647)"
대구환경공단,대구시_(대구 동구)동촌동 행정복지센터,1,DC차데모+AC3상+DC콤보,대구광역시 ,동구 ,대구광역시 동구 동촌로11길 5,24시간 이용가능,,,"('35.8899364548868', '128.649634688622')","(1103903.8619721178, 1766456.9084362695)"
대구환경공단,대구시_(대구 동구)방촌동 행정복지센터,1,DC차데모+AC3상+DC콤보,대구광역시 ,동구 ,대구광역시 동구 동촌로48길 26,24시간 이용가능,,,"('35.8800355512844', '128.665256784708')","(1105308.3002378414, 1765350.0423905726)"
대구환경공단,대구시_(대구 동구)신암2동 행정복지센터,1,DC차데모+AC3상+DC콤보,대구광역시 ,동구 ,대구광역시 동구 신성로 56,24시간 이용가능,,,"('35.8799795646859', '128.612701226296')","(1100583.515746439, 1765343.7833997384)"
대구환경공단,대구시_(대구 동구)안심1동 행정복지센터,1,DC차데모+AC3상+DC콤보,대구광역시 ,동구 ,대구광역시 동구 율하동로25길 5,24시간 이용가능,,,"('35.8704307543611', '128.701630477925')","(1108578.3227968158, 1764276.2794273985)"
대구환경공단,대구시_(대구 동구)안심34동 행정복지센터,1,DC차데모+AC3상+DC콤보,대구광역시 ,동구 ,대구광역시 동구 안심로49길 98,24시간 이용가능,,,"('35.8705291225409', '128.710830188955')","(1109405.3837835747, 1764287.276443688)"
대구환경공단,대구시_(대구 동구)효목1동 행정복지센터,1,DC차데모+AC3상+DC콤보,대구광역시 ,동구 ,대구광역시 동구 화랑로41길 46,24시간 이용가능,,,"('35.881627126128', '128.644936246785')","(1103481.4684937492, 1765527.9716205008)"
대구환경공단,대구시_(대구 북구)고성동 행정복지센터,1,DC차데모+AC3상+DC콤보,대구광역시 ,북구 ,대구광역시 북구 고성로31길 21,24시간 이용가능,,,"('35.881845842692', '128.583507567164')","(1097958.9836877577, 1765552.4229178817)"
대구환경공단,대구시_(대구 북구)동천동 행정복지센터,1,DC차데모+AC3상+DC콤보,대구광역시 ,북구 ,대구광역시 북구 대천로 81,24시간 이용가능,,,"('35.9373274954154', '128.558181299164')","(1095682.1330198725, 1771754.9636176822)"
대구환경공단,대구시_(대구 북구)무태조야동 행정복지센터,1,DC차데모+AC3상+DC콤보,대구광역시 ,북구 ,대구광역시 북구 호국로43길 20,24시간 이용가능,,,"('35.9213530509259', '128.597046062394')","(1099176.1046590218, 1769969.109425544)"
대구환경공단,대구시_(대구 북구)산격3동 행정복지센터,1,DC차데모+AC3상+DC콤보,대구광역시 ,북구 ,대구광역시 북구 대학로15길 16,24시간 이용가능,,,"('35.8935255270162', '128.608310094801')","(1100188.7497004839, 1766858.1467711856)"
