index,geometry,id,gid,sgg_nm_k,sgg_nm_e,sgg_cd,sido_nm_k,sido_nm_e,sido_cd,value,stats_year,raw_d_year
121702,"POLYGON ((970500 1845000, 970500 1845500, 971000 1845500, 971000 1845000, 970500 1845000))",121703,다바70b45a,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,8.398,2020,202010
121703,"POLYGON ((970500 1845500, 970500 1846000, 971000 1846000, 971000 1845500, 970500 1845500))",121704,다바70b45b,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,8.88,2020,202010
121704,"POLYGON ((970500 1846000, 970500 1846500, 971000 1846500, 971000 1846000, 970500 1846000))",121705,다바70b46a,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,9.95,2020,202010
121705,"POLYGON ((970500 1846500, 970500 1847000, 971000 1847000, 971000 1846500, 970500 1846500))",121706,다바70b46b,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,12.33,2020,202010
121706,"POLYGON ((970500 1847000, 970500 1847500, 971000 1847500, 971000 1847000, 970500 1847000))",121707,다바70b47a,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,12.328,2020,202010
121707,"POLYGON ((970500 1847500, 970500 1848000, 971000 1848000, 971000 1847500, 970500 1847500))",121708,다바70b47b,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,11.164,2020,202010
121708,"POLYGON ((970500 1848000, 970500 1848500, 971000 1848500, 971000 1848000, 970500 1848000))",121709,다바70b48a,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,12.068,2020,202010
121709,"POLYGON ((970500 1848500, 970500 1849000, 971000 1849000, 971000 1848500, 970500 1848500))",121710,다바70b48b,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,12.523,2020,202010
121710,"POLYGON ((970500 1849000, 970500 1849500, 971000 1849500, 971000 1849000, 970500 1849000))",121711,다바70b49a,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,12.889,2020,202010
121711,"POLYGON ((970500 1849500, 970500 1850000, 971000 1850000, 971000 1849500, 970500 1849500))",121712,다바70b49b,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,13.246,2020,202010
121712,"POLYGON ((970500 1850000, 970500 1850500, 971000 1850500, 971000 1850000, 970500 1850000))",121713,다바70b50a,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,7.313,2020,202010
121713,"POLYGON ((970500 1850500, 970500 1851000, 971000 1851000, 971000 1850500, 970500 1850500))",121714,다바70b50b,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,7.713,2020,202010
121714,"POLYGON ((970500 1851000, 970500 1851500, 971000 1851500, 971000 1851000, 970500 1851000))",121715,다바70b51a,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,4.774,2020,202010
121715,"POLYGON ((970500 1851500, 970500 1852000, 971000 1852000, 971000 1851500, 970500 1851500))",121716,다바70b51b,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,4.478,2020,202010
121716,"POLYGON ((970500 1852000, 970500 1852500, 971000 1852500, 971000 1852000, 970500 1852000))",121717,다바70b52a,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,4.495,2020,202010
