index,운영기관,충전소,충전기ID,충전기타입,지역,시군구,주소,이용가능시간,이용자 제한,충전용량,비고,GCS
94743,파워큐브,태한프레스센터,1,AC완속,세종특별자치시 ,절재로 ,세종특별자치시 절재로 172(528 태한프레스센터),24시간 이용가능,거주자외 출입제한,7kW,,"('36.50807959999964', '127.25994620000009')"
96319,파워큐브,해들마을2단지아파트,1,AC완속,세종특별자치시 ,대평1길 ,세종특별자치시 대평1길 37,24시간 이용가능,거주자외 출입제한,,,"('36.4703661000003', '127.27431110000012')"
96329,파워큐브,해들마을5단지,1,AC완속,세종특별자치시 ,대평로 ,세종특별자치시 대평로 56,24시간 이용가능,거주자외 출입제한,,,"('36.4734037999998', '127.2763821999994')"
97113,파워큐브,호려울마을3단지,1,AC완속,세종특별자치시 ,시청대로 ,세종특별자치시 시청대로 78(730 호려울마을3단지),24시간 이용가능,거주자외 출입제한,7kW,,"('36.47679309999968', '127.27975569999947')"
97124,파워큐브,호려울마을6단지,1,AC완속,세종특별자치시 ,보람동로 ,세종특별자치시 보람동로 13(779 호려울마을6단지),24시간 이용가능,거주자외 출입제한,,,"('36.47717369999957', '127.29214049999966')"
97128,파워큐브,호려울마을7단지-1,1,AC완속,세종특별자치시 ,남세종로 ,세종특별자치시 남세종로 480,24시간 이용가능,거주자외 출입제한,,,"('36.476695099999674', '127.28468789999955')"
97138,파워큐브,호려울마을8단지입주자대표회의,1,AC완속,세종특별자치시 ,보람동로 ,세종특별자치시 보람동로 14(777 호려울마을8단지),24시간 이용가능,거주자외 출입제한,,,"('36.47876479999976', '127.29501539999984')"
99809,매니지온,수루배마을1단지,1,AC완속,세종특별자치시 ,반곡로 ,세종특별자치시 반곡로 14B2,24시간 이용가능,거주자외 출입제한,7kW,,"('36.49800680000002', '127.30613909999951')"
100332,타디스테크놀로지,명성가든,1,AC완속,세종특별자치시 ,연동면 ,세종특별자치시 연동면 응암1길 10명성가든,24시간 이용가능,,7kW,,"('37.84027629999997', '127.14272589999952')"
102745,스타코프,기아 도원대리점,1,AC완속,세종특별자치시 ,조치원읍 ,세종특별자치시 조치원읍 서북부로 6기아 도원대리점(침산리 54-4),09:00~18:00,입주자외 이용불가,3kW,,"('36.603322299999824', '127.28515629999967')"
103619,스타코프,도램마을 1단지,1,AC완속,세종특별자치시 ,다솜1로 ,세종특별자치시 다솜1로 140도램마을 1단지(845 도램마을1단지),09:00~18:00,해당 시설 정책에 따라 이용이 불가할 수 있습니다,3kW,,"('36.50998380000012', '127.25289589999954')"
105702,스타코프,새뜸마을4단지 캐슬앤파밀리에 아파트,1,AC완속,세종특별자치시 ,새롬북로 ,세종특별자치시 새롬북로 13새뜸마을4단지 캐슬앤파밀리에 아파트(554 새뜸마을4단지 새뜸마을4단지 캐슬앤파밀리에 아파트),"주중 08:00~19:00, 주말 09:00~18:00",해당 시설 정책에 따라 이용이 불가할 수 있습니다,3kW,,"('36.48807459999978', '127.24188629999989')"
105710,스타코프,새롬동복합커뮤니티센터,1,AC완속,세종특별자치시 ,새롬중앙로 ,세종특별자치시 새롬중앙로 44,09:00~18:00,해당 시설 정책에 따라 이용이 불가할 수 있습니다.,3kW,,"('36.485173199999636', '127.25076489999937')"
106448,스타코프,세종 우체국,1,AC완속,세종특별자치시 ,시청대로 ,세종특별자치시 시청대로 180세종 우체국(716 세종우체국),09:00~18:00,해당 시설 정책에 따라 이용이 불가할 수 있습니다.,3kW,,"('37.5749441000002', '126.97090439999984')"
106797,스타코프,스마트허브 1동,1,AC완속,세종특별자치시 ,한누리대로 ,세종특별자치시 한누리대로 2150스마트허브 1동(722 스마트허브Ⅰ),09:00~18:00,해당 시설 정책에 따라 이용이 불가할 수 있습니다,3kW,,"('36.47851860000026', '127.28737939999982')"
106809,스타코프,스마트허브2,1,AC완속,세종특별자치시 ,한누리대로 ,세종특별자치시 한누리대로 2144스마트 허브2(721 스마트허브Ⅱ),09:00~18:00,해당 시설 정책에 따라 이용이 불가할 수 있습니다,3kW,,"('36.47877699999993', '127.28381410000004')"
109737,스타코프,청벽향,1,AC완속,세종특별자치시 ,장군면 ,세종특별자치시 장군면 정자말길 15-8청벽향(금암리 375),"주중 08:00~19:00, 주말 09:00~18:00",해당 시설 정책에 따라 이용이 불가할 수 있습니다.,3kW,,"('36.43869039999989', '127.21396450000017')"
114475,삼성EVC,한국여인생활사박물관,1,AC완속,세종특별자치시 ,조치원읍 ,세종특별자치시 조치원읍 안터길 107,24시간 이용가능,,,,"('36.62983770000006', '127.28709370000001')"
117374,휴맥스이브이,새뜸마을3단지,1,AC완속,세종특별자치시 ,새롬북로 ,세종특별자치시 새롬북로 14(597 새뜸마을3단지),24시간 이용가능,,7kW,,"('36.4852692', '127.24484840000008')"
119461,휴맥스이브이,조형아파트,1,AC완속,세종특별자치시 ,조치원읍 ,세종특별자치시 조치원읍 운주산로 60(244-1 조형아파트),24시간 이용가능,,7kW,,"('36.63502299999973', '127.2883659000001')"
120597,휴맥스이브이,프럼파스트,1,AC완속,세종특별자치시 ,연동면 ,세종특별자치시 연동면 명학2길 30(명학리 412-1),24시간 이용가능,,7kW,,"('36.53352229999989', '127.34298810000003')"
122476,세종시,박연 문화관1,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,갈매로 ,세종특별자치시 갈매로 387박연 문화관(어진동 593),24시간 이용가능,,급속(50kW),,"('36.49856680000018', '127.25961989999962')"
123095,성민기업,㈜아이소밸리,1,AC완속,세종특별자치시 ,전의면 ,세종특별자치시 전의면 동신길 144주차장(신정리 476-2),09:00~18:00,,7kW,,"('36.686859199999645', '127.21631970000004')"
