,주용도코드명,대지위치
329,주거지,대구광역시 중구 서야동 11-3번지
330,편의시설,대구광역시 중구 서성로1가 2-1번지
331,편의시설,대구광역시 중구 서성로1가 3번지
332,편의시설,대구광역시 중구 서성로1가 3-1번지
333,주거지,대구광역시 중구 서성로1가 5-1번지
334,주거지,대구광역시 중구 서성로1가 5-3번지
335,편의시설,대구광역시 중구 서성로1가 7-3번지
336,생산시설,대구광역시 중구 서성로1가 9-3번지
337,편의시설,대구광역시 중구 서성로1가 12번지
338,주거지,대구광역시 중구 서성로1가 13번지
340,편의시설,대구광역시 중구 시장북로 1-1번지
341,생산시설,대구광역시 중구 시장북로 1-2번지
342,편의시설,대구광역시 중구 시장북로 1-8번지
343,편의시설,대구광역시 중구 시장북로 1-9번지
344,편의시설,대구광역시 중구 시장북로 1-13번지
345,편의시설,대구광역시 중구 시장북로 1-14번지
347,편의시설,대구광역시 중구 시장북로 2-2번지
348,편의시설,대구광역시 중구 시장북로 2-3번지
349,주거지,대구광역시 중구 시장북로 2-6번지
350,편의시설,대구광역시 중구 하서동 1-1번지
351,편의시설,대구광역시 중구 하서동 1-2번지
352,편의시설,대구광역시 중구 하서동 2-1번지
353,편의시설,대구광역시 중구 하서동 2-3번지
354,편의시설,대구광역시 중구 하서동 2-4번지
355,편의시설,대구광역시 중구 하서동 8-2번지
356,생산시설,대구광역시 중구 하서동 13번지
357,주거지,대구광역시 중구 하서동 17-2번지
358,주거지,대구광역시 중구 하서동 20번지
360,주거지,대구광역시 중구 남성로 1번지
363,편의시설,대구광역시 중구 남성로 2-1번지
364,생산시설,대구광역시 중구 남성로 5번지
365,편의시설,대구광역시 중구 남성로 8-3번지
366,편의시설,대구광역시 중구 남성로 10-2번지
367,편의시설,대구광역시 중구 남성로 13-2번지
368,편의시설,대구광역시 중구 남성로 14-4번지
369,편의시설,대구광역시 중구 남성로 16-2번지
370,편의시설,대구광역시 중구 계산동1가 2-9번지
371,주거지,대구광역시 중구 계산동1가 7번지
372,주거지,대구광역시 중구 계산동1가 8번지
373,주거지,대구광역시 중구 계산동1가 8-1번지
374,주거지,대구광역시 중구 계산동1가 13번지
375,생산시설,대구광역시 중구 계산동1가 14번지
376,편의시설,대구광역시 중구 계산동1가 14-1번지
377,생산시설,대구광역시 중구 계산동1가 15번지
378,편의시설,대구광역시 중구 계산동1가 17번지
379,편의시설,대구광역시 중구 계산동1가 18번지
380,문화및집회시설,대구광역시 중구 계산동2가 1-1번지
381,생산시설,대구광역시 중구 계산동2가 2-2번지
382,편의시설,대구광역시 중구 계산동2가 6번지
383,편의시설,대구광역시 중구 계산동2가 7번지
384,편의시설,대구광역시 중구 계산동2가 8번지
385,주거지,대구광역시 중구 계산동2가 9번지
386,편의시설,대구광역시 중구 계산동2가 10번지
387,주거지,대구광역시 중구 계산동2가 13번지
388,편의시설,대구광역시 중구 계산동2가 14번지
389,주거지,대구광역시 중구 계산동2가 15번지
390,편의시설,대구광역시 중구 동산동 1-2번지
391,편의시설,대구광역시 중구 동산동 1-4번지
392,주거지,대구광역시 중구 동산동 1-9번지
393,주거지,대구광역시 중구 동산동 1-10번지
394,주거지,대구광역시 중구 동산동 5-2번지
396,편의시설,대구광역시 중구 동산동 6-2번지
398,생산시설,대구광역시 중구 동산동 7번지
399,생산시설,대구광역시 중구 동산동 9-1번지
400,주거지,대구광역시 중구 서문로2가 1-2번지
401,주거지,대구광역시 중구 서문로2가 2번지
403,주거지,대구광역시 중구 서문로2가 4번지
404,주거지,대구광역시 중구 서문로2가 5-2번지
405,주거지,대구광역시 중구 서문로2가 5-3번지
406,주거지,대구광역시 중구 서문로2가 5-4번지
407,주거지,대구광역시 중구 서문로2가 6-1번지
408,주거지,대구광역시 중구 서문로2가 6-2번지
409,주거지,대구광역시 중구 서문로2가 7-1번지
410,편의시설,대구광역시 중구 서성로2가 2-2번지
411,편의시설,대구광역시 중구 서성로2가 5-1번지
412,편의시설,대구광역시 중구 서성로2가 6번지
413,편의시설,대구광역시 중구 서성로2가 8-1번지
414,주거지,대구광역시 중구 서성로2가 8-2번지
415,주거지,대구광역시 중구 서성로2가 10-1번지
416,편의시설,대구광역시 중구 서성로2가 12-1번지
417,편의시설,대구광역시 중구 서성로2가 13-5번지
418,편의시설,대구광역시 중구 서성로2가 17-2번지
419,편의시설,대구광역시 중구 서성로2가 19-6번지
420,편의시설,대구광역시 중구 포정동 1번지
421,편의시설,대구광역시 중구 포정동 2-2번지
422,편의시설,대구광역시 중구 포정동 3-2번지
423,편의시설,대구광역시 중구 포정동 3-3번지
424,편의시설,대구광역시 중구 포정동 4-2번지
425,편의시설,대구광역시 중구 포정동 5번지
426,편의시설,대구광역시 중구 포정동 6-2번지
427,편의시설,대구광역시 중구 포정동 6-3번지
428,편의시설,대구광역시 중구 포정동 6-4번지
429,편의시설,대구광역시 중구 포정동 6-6번지
430,편의시설,대구광역시 중구 서문로1가 1-6번지
431,편의시설,대구광역시 중구 서문로1가 10-1번지
432,편의시설,대구광역시 중구 서문로1가 10-2번지
433,편의시설,대구광역시 중구 서문로1가 10-7번지
434,편의시설,대구광역시 중구 서문로1가 10-10번지
435,편의시설,대구광역시 중구 서문로1가 11-1번지
436,주거지,대구광역시 중구 서문로1가 11-6번지
437,편의시설,대구광역시 중구 서문로1가 11-7번지
438,편의시설,대구광역시 중구 서문로1가 11-9번지
439,주거지,대구광역시 중구 서문로1가 12번지
440,편의시설,대구광역시 중구 서내동 1-2번지
441,주거지,대구광역시 중구 서내동 1-7번지
442,창고시설,대구광역시 중구 서내동 1-11번지
443,창고시설,대구광역시 중구 서내동 1-13번지
444,주거지,대구광역시 중구 서내동 1-16번지
445,편의시설,대구광역시 중구 서내동 1-19번지
446,편의시설,대구광역시 중구 서내동 1-21번지
447,편의시설,대구광역시 중구 서내동 1-23번지
448,편의시설,대구광역시 중구 서내동 1-25번지
449,편의시설,대구광역시 중구 서내동 1-26번지
450,생산시설,대구광역시 중구 북성로2가 1-2번지
451,편의시설,대구광역시 중구 북성로2가 1-5번지
453,생산시설,대구광역시 중구 북성로2가 2-2번지
454,편의시설,대구광역시 중구 북성로2가 2-3번지
455,편의시설,대구광역시 중구 북성로2가 2-5번지
456,편의시설,대구광역시 중구 북성로2가 2-6번지
457,편의시설,대구광역시 중구 북성로2가 2-7번지
458,창고시설,대구광역시 중구 북성로2가 2-8번지
459,창고시설,대구광역시 중구 북성로2가 2-9번지
460,편의시설,대구광역시 중구 대안동 1-1번지
461,편의시설,대구광역시 중구 대안동 1-2번지
462,주거지,대구광역시 중구 대안동 2-2번지
463,편의시설,대구광역시 중구 대안동 2-3번지
464,문화및집회시설,대구광역시 중구 대안동 3-1번지
465,편의시설,대구광역시 중구 대안동 5번지
466,편의시설,대구광역시 중구 대안동 6-2번지
467,편의시설,대구광역시 중구 대안동 8-2번지
468,편의시설,대구광역시 중구 대안동 9-1번지
469,편의시설,대구광역시 중구 대안동 10-4번지
470,편의시설,대구광역시 중구 동성로1가 2-1번지
471,편의시설,대구광역시 중구 동성로1가 2-2번지
472,편의시설,대구광역시 중구 동성로1가 2-4번지
473,편의시설,대구광역시 중구 동성로1가 2-6번지
474,편의시설,대구광역시 중구 동성로1가 3-2번지
475,편의시설,대구광역시 중구 동성로1가 3-3번지
476,편의시설,대구광역시 중구 동성로1가 3-5번지
477,편의시설,대구광역시 중구 동성로1가 3-6번지
478,편의시설,대구광역시 중구 동성로1가 5-1번지
479,편의시설,대구광역시 중구 동성로1가 5-4번지
480,문화및집회시설,대구광역시 중구 태평로2가 1-1번지
481,생산시설,대구광역시 중구 태평로2가 1-3번지
482,편의시설,대구광역시 중구 태평로2가 1-8번지
483,편의시설,대구광역시 중구 태평로2가 1-9번지
484,편의시설,대구광역시 중구 태평로2가 1-11번지
485,생산시설,대구광역시 중구 태평로2가 1-41번지
486,편의시설,대구광역시 중구 태평로2가 1-50번지
487,편의시설,대구광역시 중구 태평로2가 1-51번지
488,편의시설,대구광역시 중구 태평로2가 1-56번지
489,편의시설,대구광역시 중구 태평로2가 2-1번지
490,편의시설,대구광역시 중구 북성로1가 1번지
492,편의시설,대구광역시 중구 북성로1가 1-1번지
493,편의시설,대구광역시 중구 북성로1가 1-4번지
494,편의시설,대구광역시 중구 북성로1가 1-5번지
495,주거지,대구광역시 중구 북성로1가 1-7번지
496,편의시설,대구광역시 중구 북성로1가 1-8번지
497,편의시설,대구광역시 중구 북성로1가 1-11번지
498,편의시설,대구광역시 중구 북성로1가 1-12번지
499,창고시설,대구광역시 중구 북성로1가 1-15번지
500,편의시설,대구광역시 중구 화전동 2번지
501,편의시설,대구광역시 중구 화전동 2-1번지
502,편의시설,대구광역시 중구 화전동 2-4번지
503,자동차관련시설,대구광역시 중구 화전동 2-5번지
504,편의시설,대구광역시 중구 화전동 2-7번지
505,편의시설,대구광역시 중구 화전동 2-8번지
506,편의시설,대구광역시 중구 화전동 2-12번지
507,편의시설,대구광역시 중구 화전동 2-13번지
508,편의시설,대구광역시 중구 화전동 2-14번지
509,편의시설,대구광역시 중구 화전동 2-15번지
510,편의시설,대구광역시 중구 향촌동 2-7번지
511,편의시설,대구광역시 중구 향촌동 5-5번지
512,주거지,대구광역시 중구 향촌동 5-8번지
513,편의시설,대구광역시 중구 향촌동 6번지
514,편의시설,대구광역시 중구 향촌동 7-3번지
515,편의시설,대구광역시 중구 향촌동 7-4번지
516,편의시설,대구광역시 중구 향촌동 7-5번지
517,편의시설,대구광역시 중구 향촌동 7-6번지
518,편의시설,대구광역시 중구 향촌동 7-9번지
519,편의시설,대구광역시 중구 향촌동 8-2번지
520,주거지,대구광역시 중구 북내동 2번지
521,주거지,대구광역시 중구 북내동 4-1번지
522,생산시설,대구광역시 중구 북내동 5번지
523,주거지,대구광역시 중구 북내동 5-1번지
524,편의시설,대구광역시 중구 북내동 11-1번지
525,편의시설,대구광역시 중구 북내동 11-2번지
526,주거지,대구광역시 중구 북내동 12번지
527,주거지,대구광역시 중구 북내동 13번지
528,주거지,대구광역시 중구 북내동 14번지
529,주거지,대구광역시 중구 북내동 15번지
530,주거지,대구광역시 중구 대신동
533,편의시설,대구광역시 중구 대신동 1-2번지
534,주거지,대구광역시 중구 대신동 1-20번지
535,주거지,대구광역시 중구 대신동 1-23번지
536,편의시설,대구광역시 중구 대신동 1-26번지
537,편의시설,대구광역시 중구 대신동 1-28번지
538,편의시설,대구광역시 중구 대신동 1-29번지
539,주거지,대구광역시 중구 대신동 1-30번지
540,편의시설,대구광역시 중구 달성동 10번지
541,편의시설,대구광역시 중구 달성동 13-14번지
542,편의시설,대구광역시 중구 달성동 18-5번지
543,주거지,대구광역시 중구 달성동 29번지
544,주거지,대구광역시 중구 달성동 46번지
545,주거지,대구광역시 중구 달성동 52-11번지
546,주거지,대구광역시 중구 달성동 86번지
547,주거지,대구광역시 중구 달성동 90번지
548,편의시설,대구광역시 중구 달성동 114-32번지
549,편의시설,대구광역시 중구 달성동 115-11번지
551,판매시설,대구광역시 중구 남산동 1-90번지
552,주거지,대구광역시 중구 남산동 47-4번지
554,주거지,대구광역시 중구 남산동 87-16번지
555,편의시설,대구광역시 중구 남산동 94-2번지
556,편의시설,대구광역시 중구 남산동 94-22번지
557,주거지,대구광역시 중구 남산동 94-24번지
558,주거지,대구광역시 중구 남산동 94-26번지
560,자동차관련시설,대구광역시 중구 대봉동 1-1번지
562,편의시설,대구광역시 중구 대봉동 1-18번지
563,주거지,대구광역시 중구 대봉동 1-25번지
564,주거지,대구광역시 중구 대봉동 2-6번지
565,편의시설,대구광역시 중구 대봉동 2-7번지
566,편의시설,대구광역시 중구 대봉동 2-8번지
567,편의시설,대구광역시 중구 대봉동 2-10번지
568,편의시설,대구광역시 중구 대봉동 2-11번지
