,주용도코드명,대지위치
470,주거지,강원도 춘천시 동산면 봉명리 28번지
471,농축산업시설,강원도 춘천시 동산면 봉명리 30-1번지
472,교육연구시설,강원도 춘천시 동산면 원창리 69-2번지
479,주거지,강원도 춘천시 동산면 원창리 70번지
480,주거지,강원도 춘천시 동산면 원창리 71-2번지
481,편의시설,강원도 춘천시 동산면 원창리 76번지
482,창고시설,강원도 춘천시 동산면 군자리 1번지
483,주거지,강원도 춘천시 동산면 군자리 2-2번지
484,농축산업시설,강원도 춘천시 동산면 군자리 3번지
485,생산시설,강원도 춘천시 동산면 군자리 8번지
486,생산시설,강원도 춘천시 동산면 군자리 13-3번지
491,편의시설,강원도 춘천시 동산면 군자리 18-1번지
492,주거지,강원도 춘천시 신동면 의암리 5번지
493,창고시설,강원도 춘천시 신동면 의암리 7번지
494,주거지,강원도 춘천시 신동면 의암리 23번지
495,주거지,강원도 춘천시 신동면 의암리 25-3번지
496,주거지,강원도 춘천시 신동면 의암리 28번지
497,주거지,강원도 춘천시 신동면 의암리 28-1번지
498,편의시설,강원도 춘천시 신동면 의암리 32-1번지
501,주거지,강원도 춘천시 신동면 의암리 36-5번지
502,편의시설,강원도 춘천시 신동면 팔미리 2-5번지
503,교육연구시설,강원도 춘천시 신동면 팔미리 5번지
504,편의시설,강원도 춘천시 신동면 팔미리 10-2번지
505,주거지,강원도 춘천시 신동면 팔미리 15-1번지
506,주거지,강원도 춘천시 신동면 팔미리 19번지
507,창고시설,강원도 춘천시 신동면 팔미리 22-7번지
508,자원순환관련시설,강원도 춘천시 신동면 팔미리 25-1번지
509,주거지,강원도 춘천시 신동면 팔미리 28번지
511,편의시설,강원도 춘천시 신동면 팔미리 29번지
512,자원순환관련시설,강원도 춘천시 신동면 혈동리 55-1번지
513,생산시설,강원도 춘천시 신동면 혈동리 65-1번지
518,창고시설,강원도 춘천시 신동면 혈동리 71-3번지
521,편의시설,강원도 춘천시 신동면 혈동리 75번지
522,주거지,강원도 춘천시 신동면 증리 8-2번지
523,농축산업시설,강원도 춘천시 신동면 증리 23-1번지
524,주거지,강원도 춘천시 신동면 증리 23-2번지
525,주거지,강원도 춘천시 신동면 증리 25번지
527,주거지,강원도 춘천시 신동면 증리 29번지
528,주거지,강원도 춘천시 신동면 증리 32번지
529,창고시설,강원도 춘천시 신동면 증리 40-3번지
530,주거지,강원도 춘천시 신동면 증리 41번지
531,농축산업시설,강원도 춘천시 신동면 증리 41-2번지
532,주거지,강원도 춘천시 신동면 정족리 4-2번지
533,농축산업시설,강원도 춘천시 신동면 정족리 6번지
534,주거지,강원도 춘천시 신동면 정족리 7-2번지
535,주거지,강원도 춘천시 신동면 정족리 8-1번지
536,주거지,강원도 춘천시 신동면 정족리 8-2번지
537,주거지,강원도 춘천시 신동면 정족리 8-6번지
538,주거지,강원도 춘천시 신동면 정족리 8-7번지
539,주거지,강원도 춘천시 신동면 정족리 8-9번지
540,주거지,강원도 춘천시 신동면 정족리 8-15번지
541,주거지,강원도 춘천시 신동면 정족리 8-17번지
542,주거지,강원도 춘천시 남면 관천리 84번지
543,주거지,강원도 춘천시 남면 관천리 183-2번지
545,주거지,강원도 춘천시 남면 관천리 197번지
546,주거지,강원도 춘천시 남면 관천리 201번지
547,주거지,강원도 춘천시 남면 관천리 202번지
548,주거지,강원도 춘천시 남면 관천리 204-1번지
549,주거지,강원도 춘천시 남면 관천리 211번지
550,농축산업시설,강원도 춘천시 남면 관천리 212-1번지
552,주거지,강원도 춘천시 남면 박암리
553,교육연구시설,강원도 춘천시 남면 박암리 9-1번지
554,편의시설,강원도 춘천시 남면 박암리 9-3번지
555,주거지,강원도 춘천시 남면 박암리 9-5번지
556,창고시설,강원도 춘천시 남면 박암리 24번지
557,편의시설,강원도 춘천시 남면 박암리 33번지
558,주거지,강원도 춘천시 남면 박암리 86번지
559,주거지,강원도 춘천시 남면 박암리 87번지
560,주거지,강원도 춘천시 남면 박암리 107-2번지
561,주거지,강원도 춘천시 남면 박암리 115번지
562,주거지,강원도 춘천시 남면 가정리 34번지
563,주거지,강원도 춘천시 남면 가정리 37번지
564,주거지,강원도 춘천시 남면 가정리 38번지
565,주거지,강원도 춘천시 남면 가정리 44번지
566,농축산업시설,강원도 춘천시 남면 가정리 47-1번지
567,주거지,강원도 춘천시 남면 가정리 47-5번지
568,주거지,강원도 춘천시 남면 가정리 60번지
569,농축산업시설,강원도 춘천시 남면 가정리 69번지
570,주거지,강원도 춘천시 남면 가정리 83번지
571,주거지,강원도 춘천시 남면 가정리 83-1번지
572,편의시설,강원도 춘천시 남면 발산리 4-2번지
573,주거지,강원도 춘천시 남면 발산리 5-1번지
574,주거지,강원도 춘천시 남면 발산리 32-1번지
575,주거지,강원도 춘천시 남면 발산리 39-3번지
576,편의시설,강원도 춘천시 남면 발산리 41-9번지
579,편의시설,강원도 춘천시 남면 발산리 44번지
580,주거지,강원도 춘천시 남면 발산리 53번지
581,주거지,강원도 춘천시 남면 발산리 54-1번지
582,농축산업시설,강원도 춘천시 남면 후동리 20번지
587,편의시설,강원도 춘천시 남면 후동리 42-1번지
588,편의시설,강원도 춘천시 남면 후동리 43-1번지
589,주거지,강원도 춘천시 남면 후동리 46번지
591,주거지,강원도 춘천시 남면 후동리 52-1번지
592,주거지,강원도 춘천시 남면 추곡리 12-1번지
593,주거지,강원도 춘천시 남면 추곡리 12-4번지
594,편의시설,강원도 춘천시 남면 추곡리 16-1번지
595,주거지,강원도 춘천시 남면 추곡리 20번지
596,주거지,강원도 춘천시 남면 추곡리 33번지
